Sample,Pose,Courant
1049,4.83,0.0
1050,4.82,-0.0
1051,4.81,-0.0
1052,4.81,0.0
1053,4.8,-0.0
1054,4.78,0.0
1055,4.77,-0.0
1056,4.76,0.0
1057,4.75,0.0
1058,4.73,0.0
1059,4.72,0.0
1060,4.7,0.0
1061,4.68,0.0
1062,4.66,0.0
1063,4.64,0.0
1064,4.62,0.0
1065,4.6,0.0
1066,4.58,0.0
1067,4.56,0.0
1068,4.54,0.0
1069,4.52,0.01
1070,4.5,0.0
1071,4.48,-0.0
1072,4.46,0.0
1073,4.44,0.0
1074,4.42,0.0
1075,4.4,0.0
1076,4.38,0.0
1077,4.37,0.0
1078,4.35,0.0
1079,4.34,0.0
1080,4.32,0.0
1081,4.31,0.0
1082,4.3,0.0
1083,4.29,0.0
1084,4.28,0.01
1085,4.27,0.01
1086,4.26,0.01
1087,4.25,0.01
1088,4.25,0.01
1089,4.24,0.01
1090,4.24,0.01
1091,4.23,0.01
1092,4.23,0.02
1093,4.23,0.02
1094,4.22,0.01
1095,4.22,0.02
1096,4.22,0.02
1097,4.22,0.02
1098,4.22,0.02
1099,4.22,0.02
1100,4.22,0.02
1101,4.22,0.02
1102,4.22,0.02
1103,4.22,0.02
1104,4.22,0.02
1105,4.22,0.02
1106,4.22,0.02
1107,4.22,0.02
1108,4.22,0.02
1109,4.22,0.02
1110,4.21,0.02
1111,4.21,0.02
1112,4.21,0.02
1113,4.2,0.03
1114,4.2,0.02
1115,4.19,0.03
1116,4.19,0.03
1117,4.18,0.03
1118,4.18,0.03
1119,4.17,0.03
1120,4.16,0.03
1121,4.15,0.03
1122,4.15,0.03
1123,4.14,0.02
1124,4.13,0.03
1125,4.12,0.03
1126,4.12,0.02
1127,4.11,0.02
1128,4.1,0.02
1129,4.09,0.02
1130,4.09,0.03
1131,4.08,0.03
1132,4.07,0.03
1133,4.07,0.03
1134,4.06,0.03
1135,4.06,0.03
1136,4.05,0.03
1137,4.05,0.03
1138,4.05,0.03
1139,4.05,0.03
1140,4.05,0.03
1141,4.05,0.03
1142,4.05,0.03
1143,4.05,0.03
1144,4.05,0.03
1145,4.05,0.03
1146,4.05,0.03
1147,4.05,0.03
1148,4.06,0.03
1149,4.06,0.04
1150,4.06,0.04
1151,4.06,0.04
1152,4.07,0.04
1153,4.07,0.04
1154,4.08,0.04
1155,4.08,0.04
1156,4.08,0.04
1157,4.08,0.04
1158,4.09,0.04
1159,4.09,0.04
1160,4.09,0.04
1161,4.09,0.04
1162,4.09,0.04
1163,4.09,0.04
1164,4.09,0.04
1165,4.09,0.04
1166,4.09,0.04
1167,4.09,0.04
1168,4.09,0.04
1169,4.09,0.04
1170,4.08,0.04
1171,4.08,0.04
1172,4.08,0.04
1173,4.07,0.04
1174,4.07,0.04
1175,4.06,0.04
1176,4.06,0.04
1177,4.05,0.04
1178,4.05,0.04
1179,4.04,0.04
1180,4.04,0.04
1181,4.03,0.04
1182,4.03,0.04
1183,4.02,0.04
1184,4.02,0.04
1185,4.02,0.04
1186,4.01,0.04
1187,4.01,0.04
1188,4.01,0.04
1189,4.01,0.04
1190,4.01,0.04
1191,4.0,0.04
1192,4.0,0.04
1193,4.01,0.04
1194,4.01,0.04
1195,4.01,0.04
1196,4.01,0.04
1197,4.01,0.05
1198,4.02,0.05
1199,4.02,0.05
1200,4.02,0.05
1201,4.03,0.05
1202,4.03,0.05
1203,4.03,0.05
1204,4.04,0.05
1205,4.04,0.04
1206,4.05,0.05
1207,4.05,0.05
1208,4.06,0.05
1209,4.06,0.06
1210,4.06,0.06
1211,4.07,0.05
1212,4.07,0.06
1213,4.07,0.06
1214,4.07,0.05
1215,4.08,0.06
1216,4.08,0.06
1217,4.08,0.06
1218,4.08,0.06
1219,4.08,0.06
1220,4.08,0.06
1221,4.08,0.06
1222,4.07,0.06
1223,4.07,0.06
1224,4.07,0.06
1225,4.07,0.06
1226,4.06,0.06
1227,4.06,0.06
1228,4.06,0.06
1229,4.05,0.06
1230,4.05,0.06
1231,4.04,0.06
1232,4.04,0.06
1233,4.04,0.06
1234,4.03,0.06
1235,4.03,0.06
1236,4.03,0.06
1237,4.03,0.06
1238,4.02,0.06
1239,4.02,0.06
1240,4.02,0.06
1241,4.02,0.06
1242,4.02,0.06
1243,4.02,0.06
1244,4.02,0.06
1245,4.02,0.06
1246,4.02,0.06
1247,4.02,0.06
1248,4.03,0.06
1249,4.03,0.06
1250,4.03,0.06
1251,4.03,0.06
1252,4.04,0.06
1253,4.04,0.06
1254,4.05,0.06
1255,4.05,0.06
1256,4.06,0.06
1257,4.06,0.07
1258,4.06,0.06
1259,4.07,0.07
1260,4.07,0.07
1261,4.08,0.06
1262,4.08,0.07
1263,4.08,0.06
